similargrouplevel,cluster_id,store_id
421001002,4,TDU1
421001002,4,TKR5
421001002,4,TCE1
421001002,4,TLT8
421001002,4,TK57
421001002,4,TJJ5
421001002,4,THA1
421001002,4,TDT4
421001002,4,TX7P
421001002,4,TEG1
421001002,4,T637
421001002,4,TWVT
421001002,4,TKB0
421001002,4,TDS6
421001002,4,T66A
421001002,4,TX6Z
421001002,4,TLJ5
421001002,4,T23I
421001002,4,TEW1
421001002,4,TDO2
421001002,4,TDB1
421001002,4,TX5Z
421001002,4,TASO
421001002,4,TX4P
421001002,4,TDU6
421001002,4,TWQG
421001002,4,TX4Z
421001002,4,TH52
421001002,4,TKB1
421001002,4,TAQL
421001002,4,TAQE
421001002,4,TV41
421001002,4,5807
421001002,4,TXQ2
421001002,4,TJF6
421001002,4,TZ27
421001002,4,TTB2
421001002,4,TTA8
421001002,4,TNO6
421001002,4,TFD5
421001002,4,5940
421001002,4,TS27
421001002,4,TKR4
421001002,4,T9IV
421001002,4,TY5D
421001002,4,TWUD
421001002,4,TFE4
421001002,4,TQ49
421001002,4,TMK2
421001002,4,TDP5
421001002,4,TSM0
421001002,4,TN04
421001002,4,TJX3
421001002,4,TEB2
421001002,4,TAIX
421001002,4,T44F
421001002,4,TX8D
421001002,4,TWVP
421001002,4,TFZ6
421001002,4,TDG7
421001002,4,T39R
421001002,4,TX7D
421001002,4,TV36
421001002,4,TU03
421001002,4,TDS8
421001002,4,8333
421001002,4,TT87
421001002,4,TFQ9
421001002,4,T151
421001002,4,TX19
421001002,4,TWWN
421001002,4,TTA4
421001002,4,TPO5
421001002,4,TZ31
421001002,4,TU01
421001002,4,TQ78
421001002,4,TEV5
421001002,4,TCH7
421001002,4,TA8M
421001002,4,5797
421001002,4,TSL8
421001002,4,TCM8
421001002,4,TTA2
421001002,4,TEZ2
421001002,4,TX7R
421001002,4,TTL1
421001002,4,TK53
421001002,4,TAB2
421001002,4,T35J
421001002,4,TSM8
421001002,4,TAUZ
421001002,4,TWWJ
421001002,4,TJF3
421001002,4,T193
421001002,4,8323
421001002,4,T629
